facility,address,date,violations,total_critical_violations,total_crit_not_corrected,total_noncritical_violations,description,local_health_department,county,facility_address,city,zip_code,nysdoh_gazetteer_1980,municipality,operation_name,permit_expiration_date,permitted_d_b_a,permitted_corp_name,perm_operator_last_name,perm_operator_first_name,nys_health_operation_id,inspection_type,inspection_comments,food_service_facility_state,location1
LAROSA'S RESTAURANT & PIZZERIA,"504 HEMPSTEAD  TURNPIKE,  WEST HEMPSTEAD",2026-04-02,"Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing;",0.0,0.0,1.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,504 HEMPSTEAD  TURNPIKE,WEST HEMPSTEAD,11552,295049,HEMPSTEAD,LAROSA'S RESTAURANT & PIZZERIA,2027-01-31T00:00:00.000,LAROSA'S,JB PIZZA PLACE INC,,,574587,Re-Inspection,,NY,"(40.705759, -73.657781)"
OCEANSIDE SD - OAKS SCHOOL ELEM #3,"2852 FORTESQUE  AVENUE,  OCEANSIDE",2025-11-19,No violations found.,0.0,0.0,0.0,Institutional Food Service - School K-12 Food Service,Nassau  County,NASSAU,2852 FORTESQUE  AVENUE,OCEANSIDE,11572,299900,NASSAU SCHOOLS,OCEANSIDE SD - OAKS SCHOOL ELEMENTARY #3,2026-11-30T00:00:00.000,,OCEANSIDE UNION FREE SCHOOL DISTRICT,,,576110,Inspection,"Score: 0/0 “A”|Permit Expires: November 30, 2026|November 2025 Menu Attached|Milk Expiration Date: November 28, 2025 to November 30, 2025",NY,"(40.637967, -73.624342)"
AMC THEATRES FANTASY 5,"18 NORTH PARK AVENUE,  ROCKVILLE CENTRE",2026-02-19,"Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;",0.0,0.0,4.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,18 NORTH PARK AVENUE,ROCKVILLE CENTRE,11570,290900,HEMPSTEAD,AMC THEATRES FANTASY 5,2027-03-31T00:00:00.000,FANTASY 5,AMERICAN MULTI-CINEMA INC,,,577865,Inspection,Permit expires March 2026|Grade A,NY,"(40.656877, -73.645258)"
MIDWAY JEWISH CENTER SISTERHOOD,"330 SOUTH OYSTER BAY  ROAD,  SYOSSET",2026-03-10,"Item  2E-  Critical Violation [RED] Accurate thermometers not available or used to evaluate potentially hazardous food temperatures during cooking, cooling, reheating and holding.; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing;",1.0,1.0,1.0,"Institutional Food Service - Religious, Charitable, Fraternal Organization",Nassau  County,NASSAU,330 SOUTH OYSTER BAY  ROAD,SYOSSET,11791,295216,OYSTER BAY,MIDWAY JEWISH CENTER SISTERHOOD,2026-10-31T00:00:00.000,MIDWAY JEWISH CENTER SISTERHOOD,MIDWAY JEWISH CENTER,,,576578,Inspection,Grade: A|Permit exp: 10/31/26 |Coffee served,NY,"(40.790992, -73.503902)"
GARDEN CITY GRILL,"401 FRANKLIN  AVENUE,  GARDEN CITY",2025-02-06,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,401 FRANKLIN  AVENUE,GARDEN CITY,11530,290500,HEMPSTEAD,GARDEN CITY GRILL,2026-10-31T00:00:00.000,,GARDEN CITY GOURMET GRILL LTD,,,789199,Re-Inspection,Facility utilizes janitorial sink located in hallway closet of building.,NY,"(40.721065, -73.632297)"
DAKE SUSHI,"742 OLD BETHPAGE  ROAD,  OLD BETHPAGE",2026-03-31,"Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;",1.0,0.0,7.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,742 OLD BETHPAGE  ROAD,OLD BETHPAGE,11804,295211,OYSTER BAY,DAKE SUSHI,2026-06-30T00:00:00.000,DAKE SUSHI,SAM 153 CORP,,,577456,Inspection,SS - fmtc exp .  April 2026 no.  46599|59 seats|Permit exp June 2026|Grade B,NY,"(40.763696, -73.454077)"
WESTBURY UFSD SUMMER FOOD PROGRAM,"2 HITCHCOCK LANE,  OLD WESTBURY",2025-08-19,No violations found.,0.0,0.0,0.0,SED Summer Feeding Prog. - SED Self Preparation Feeding Site,Nassau  County,NASSAU,2 HITCHCOCK LANE,OLD WESTBURY,11568,299900,NASSAU SCHOOLS,Westbury High School,2026-08-31T00:00:00.000,,,,,705472,Re-Inspection,All violations have been corrected.,NY,"(40.768485, -73.583713)"
KA WANG CHINESE RESTAURANT,"1640 FRONT  STREET,  EAST MEADOW",2025-12-24,"Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 14C-   Pesticide application not supervised by a certified applicator; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;",0.0,0.0,5.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,1640 FRONT  STREET,EAST MEADOW,115542350,295012,HEMPSTEAD,KA WANG CHINESE RESTAURANT,2027-01-31T00:00:00.000,,KA WANG CHINESE RESTAURANT INC.,,,728425,Inspection,"Seatings: 8: Food Manager’s Certificate# 46458-Expires January 31, 2026, Food Permit# F0115037-Expires January 31, 2026|Inspection ratings: 0/5”A”",NY,"(40.71573, -73.570622)"
MCBRIDE'S PUB,"101 BEDFORD AVENUE,  BELLMORE",2026-02-24,"Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",1.0,0.0,6.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,101 BEDFORD AVENUE,BELLMORE,11710,295007,HEMPSTEAD,MCBRIDE'S PUB,2026-10-31T00:00:00.000,,SARACON IRISH BAR INC,,,752790,Inspection,permit expires Oct 2026|32 seats|FMTC letter issued|Grade B,NY,"(40.672963, -73.528826)"
MERRICK WOODS COUNTRY DAY SCHOOL,"1075 MERRICK  AVENUE,  NORTH MERRICK",2025-07-30,No violations found.,0.0,0.0,0.0,Institutional Food Service - School K-12 Food Service,Nassau  County,NASSAU,1075 MERRICK  AVENUE,NORTH MERRICK,11566,299900,NASSAU SCHOOLS,MERRICK WOODS COUNTRY DAY SCHOOL,2027-04-30T00:00:00.000,MERRICK WOODS COUNTRY DAY SCH(SA#33),MERRICK WOODS COUNTRY DAY SCHOOL,,,576397,Inspection,Score 0/0 “A”|FMTC A.S. 229216448 expires June 30 2028|Permit expires April 30 2026 |3-compartment sink noted at 130ºF,NY,"(40.694335, -73.564666)"
DUNKIN DONUTS/BASKIN ROBBINS,"587 OLD COUNTRY ROAD,  PLAINVIEW",2026-02-02,"Item  8B-   In use food dispensing utensils improperly stored; Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 14A-   Insects, rodents present;",0.0,0.0,3.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,587 OLD COUNTRY ROAD,PLAINVIEW,11803,295214,OYSTER BAY,DUNKIN DONUTS/BASKIN ROBBINS,2027-01-31T00:00:00.000,,GSK PROPERTIES LLC,,,574278,Inspection,Grade: A |Permit exp: Jan 2027 |Seats - 12,NY,"(40.771145, -73.493798)"
VFW POST 6394 - M H KITCHEN,"20 QUEENS  STREET,  SYOSSET",2023-06-21,No violations found.,0.0,0.0,0.0,"Institutional Food Service - Religious, Charitable, Fraternal Organization",Nassau  County,NASSAU,20 QUEENS  STREET,SYOSSET,11791,295216,OYSTER BAY,VFW POST 6394  -  MEETING HALL KITCHEN,2027-03-31T00:00:00.000,V F W POST 6394,VFW POST 6394,,,578581,Inspection,food catered in after meeting once a month |hall may be rented but only catered foods allowed |residential kitchen w 3 compartment is not used |bar w 3 compartment sink not used,NY,"(40.824988, -73.50404)"
TACO HUT,"654 SUNRISE HIGHWAY,  BALDWIN",2026-02-27,"Item 11D-   Non food contact surfaces of equipment not clean; Item 12A-   Hot, cold running water not provided, pressure inadequate; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;",0.0,0.0,3.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,654 SUNRISE HIGHWAY,BALDWIN,115103136,295002,HEMPSTEAD,TACO HUT,2027-04-30T00:00:00.000,,TACO HUT EXPRESS INC,,,817569,Inspection,Rating: A |Seats: 18 |FMTC: |1). Y.B.Z. #43361 exp 2/28/29 |Food permit: F0118424 exp 4/30/26 |**Water leak in the ceiling is due to snow buildup on the roof that has melted; the landlord was contacted and will address the issue**,NY,"(40.656285, -73.612325)"
OCEAN CLUB RESTAURANT & SNACK BAR,"1565 OCEAN  BOULEVARD,  ATLANTIC BEACH",2025-07-31,"Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",0.0,0.0,1.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,1565 OCEAN  BOULEVARD,ATLANTIC BEACH,11509,292100,HEMPSTEAD,THE OCEAN CLUB RESTAURANT & SNACK BAR,2027-04-30T00:00:00.000,,THE OCEAN CLUB INC,,,579312,Re-Inspection,,NY,"(40.586172, -73.719193)"
TROPICAL JERK & SEAFOOD,"1321 GRAND AVENUE,  BALDWIN",2025-11-24,"Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 13A-   Adequate, leakproof, non-absorbent, vermin-proof, covered containers not provided where needed; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded;",1.0,0.0,6.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,1321 GRAND AVENUE,BALDWIN,11510,295002,HEMPSTEAD,TROPICAL JERK & SEAFOOD,2027-03-31T00:00:00.000,,SOPHIA'S TROPICAL JERK & SEAFOOD INC,,,728787,Inspection,Permit expires March 2026|MB - fmtc exp.  Aug 2028 no.  902362082|Grade B|Establishment has TPHC waiver,NY,"(40.678137, -73.614249)"
DA-ANGELO PIZZERIA,"815 WILLIS  AVENUE,  ALBERTSON",2026-02-09,"Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;",1.0,0.0,4.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,815 WILLIS  AVENUE,ALBERTSON,11507,295101,N. HEMPSTEAD,DA-ANGELO PIZZERIA & RISTORANTE,2026-11-30T00:00:00.000,,CAFE COPA INC,,,571158,Re-Inspection,,NY,"(40.765894, -73.647307)"
BURGER KING / POPEYES,"239-25 LINDEN BOULEVARD,  ELMONT",2025-09-23,Item 14C-   Pesticide application not supervised by a certified applicator;,0.0,0.0,1.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,239-25 LINDEN BOULEVARD,ELMONT,11003,295013,HEMPSTEAD,BURGER KING / POPEYES,2026-08-31T00:00:00.000,,239 ELMONT OPERATING CORP,,,717806,Inspection,"Score: 0/1 “A”|Seating Count 46|3-compartment sink noted 140ºF|Mop sink present|Food Managers Certification: MQ #1067313630 May 31, 2027",NY,"(40.6902, -73.723891)"
AMERICAN LEGION WANTAGH POST #1273,"3484 PARK  AVENUE,  WANTAGH",2025-01-29,"Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing;",0.0,0.0,1.0,"Institutional Food Service - Religious, Charitable, Fraternal Organization",Nassau  County,NASSAU,3484 PARK  AVENUE,WANTAGH,11793,295050,HEMPSTEAD,AMERICAN LEGION WANTAGH POST #1273,2026-06-30T00:00:00.000,AMERICAN LEGION WANTAGH POST #1273,WANTAGH AMERICAN LEGION INC,,,579091,Inspection,Permit expires June 2025|120 seats|Grade A,NY,"(40.674608, -73.503601)"
OAK CHALET,"1940 BELLMORE AVENUE,  BELLMORE",2025-02-13,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,1940 BELLMORE AVENUE,BELLMORE,11710,295007,HEMPSTEAD,OAK CHALET,2026-08-31T00:00:00.000,OAK CHALET,OAK CHALET INC,,,575938,Re-Inspection,,NY,"(40.676133, -73.529554)"
ISLAND HARVEST SUMMER FOOD SERVICE,"126 SPAGNOLI ROAD,  MELVILLE",2025-07-17,No violations found.,0.0,0.0,0.0,SED Summer Feeding Prog. - SED Satellite Feeding Site,Nassau  County,NASSAU,126 SPAGNOLI ROAD,MELVILLE,11747,299900,NASSAU SCHOOLS,AMC Child Care Center Inc,,,,,,966287,Inspection,"children on site-25 kids|number of meals-40 meals|time of delivery-11:10am|temperature of food at time of delivery-36 degrees Fahrenheit |type of food- chicken salad,bagels, milk, celery, and oranges|instant read thermometer-yes|ambient thermometer-yes|gloves-yes|handwashing sink temperature-105 degrees Fahrenheit|paper towels-yes|soap-yes|handwashing signs-yes|temperature of chicken salad-40 degrees Fahrenheit |temperature of milk-44 degrees Fahrenheit",NY,"(40.741478, -73.640137)"
ISLAND PARK SD -FRANCIS X HEGARTY ES,"100 RADCLIFFE ROAD,  ISLAND PARK",2025-01-30,No violations found.,0.0,0.0,0.0,Institutional Food Service - School K-12 Food Service,Nassau  County,NASSAU,100 RADCLIFFE ROAD,ISLAND PARK,11558,299900,NASSAU SCHOOLS,ISLAND PARK SD -FRANCIS X HEGARTY ELEM SCH,2026-05-31T00:00:00.000,HEGARTY ELEM SCHL (ISLAND PARK UFSD),ISLAND PARK UFSD,,,574900,Inspection,"Score: 0/0 “A”|Permit Expires: May 31, 2025|FMTC: N.M; Cert #: 42199; Cert Exp: March 31, 2026|Milk Expiration Date: January 30th, 2025 to February 13th, 2025.|Hot water temperature at the 3-compartment sink: 149.9ºF|Hot water temperature at the hand wash sink: 104.3ºF.",NY,"(40.600814, -73.657865)"
RC DUGAN'S,"2316 HEMPSTEAD  TURNPIKE,  EAST MEADOW",2025-12-08,"Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; Item 14A-   Insects, rodents present; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;",0.0,0.0,9.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,2316 HEMPSTEAD  TURNPIKE,EAST MEADOW,11554,295012,HEMPSTEAD,RC DUGAN'S,2027-04-30T00:00:00.000,,JDRC GRILL LTD,,,574673,Inspection,"Seatings: 82: Food Permit# F0116139-Expires April 30. 2026: Food Manager’s Certificate# J.F # 41867-Expires August 31, 2028|Inspection ratings: 0/9”B”",NY,"(40.724861, -73.549053)"
KFC,"555 LONG BEACH ROAD,  LONG BEACH",2025-06-16,"Item  8C-   Improper use and storage of clean, sanitized equipment and utensils;",0.0,0.0,1.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,555 LONG BEACH ROAD,LONG BEACH,11561,290200,LONG BEACH,KFC,2026-05-31T00:00:00.000,,KEDIS ENTERPRISES LLC,,,780023,Inspection,,NY,"(40.591003, -73.657847)"
BORRELLI'S,"1580 HEMPSTEAD  TURNPIKE,  EAST MEADOW",2025-12-09,Item 14C-   Pesticide application not supervised by a certified applicator;,0.0,0.0,1.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,1580 HEMPSTEAD  TURNPIKE,EAST MEADOW,11554,295012,HEMPSTEAD,BORRELLI'S,2027-03-31T00:00:00.000,,BORRELLI BROTHERS INC,,,570392,Re-Inspection,,NY,"(40.72298, -73.576172)"
DUNKIN DONUTS,"55 MAIN STREET,  PORT WASHINGTON",2023-02-01,"Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish);",0.0,0.0,1.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,55 MAIN STREET,PORT WASHINGTON,11050,295111,N. HEMPSTEAD,DUNKIN DONUTS,2026-12-31T00:00:00.000,,CANYON DONUTS PORT WASHINGTON INC,,,673343,Inspection,Score: 0/1 A|Seats: 10|Permit number: F0114297|Expiration.: 12/31/23,NY,"(40.830729, -73.687386)"
SUBWAY,"47-3 BOUNDARY AVENUE,  SOUTH FARMINGDALE",2025-04-18,"Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish);",0.0,0.0,1.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,47-3 BOUNDARY AVENUE,SOUTH FARMINGDALE,11735,295215,OYSTER BAY,SUBWAY,2026-06-30T00:00:00.000,,P & R PATEL INC,,,742624,Inspection,13 seats|Permit expires June 2025|Grade A,NY,"(40.717418, -73.461335)"
CHENG'S RESTAURANT,"3618 MERRICK  ROAD,  SEAFORD",2025-05-01,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 11D-   Non food contact surfaces of equipment not clean; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin;",0.0,0.0,6.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,3618 MERRICK  ROAD,SEAFORD,11783,295045,HEMPSTEAD,CHENG'S RESTAURANT,2027-03-31T00:00:00.000,,CHENG'S RESTAURANT INC,,,568138,Inspection,16 seats|Grade B|KKC - fmtc exp.  Aug 2026 no.  41855|Permit expires March 2026,NY,"(40.665138, -73.497272)"
WENDY'S OLD FASHIONED HAMBURGERS,"250 WEST JERICHO  TURNPIKE,  SYOSSET",2025-04-18,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,250 WEST JERICHO  TURNPIKE,SYOSSET,11791,295216,OYSTER BAY,WENDY'S OLD FASHIONED HAMBURGERS,2026-12-31T00:00:00.000,WENDY'S OLD FASHIONED HAMBURGERS,R & R GALLERIA INC,,,577234,Inspection,Score 0/0 “A”|Permit expires Dec 31 2025 |Seat count 86,NY,"(40.810186, -73.507801)"
VILLAGGIO PIZZA,"3  PARK LANE,  MASSAPEQUA",2025-08-21,"Item  8C-   Improper use and storage of clean, sanitized equipment and utensils; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish);",0.0,0.0,3.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,3  PARK LANE,MASSAPEQUA,11758,295209,OYSTER BAY,VILLAGGIO PIZZA,2026-05-31T00:00:00.000,,VAP INC,,,676873,Inspection,Food Managers AG expires May 2027. Certificate # 1884316110,NY,"(40.679533, -73.43959)"
BONBINO'S PIZZA RESTAURANT,"605 MERRICK  ROAD,  ROCKVILLE CENTRE",2025-01-24,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 14C-   Pesticide application not supervised by a certified applicator; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;",0.0,0.0,4.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,605 MERRICK  ROAD,ROCKVILLE CENTRE,11570,290900,HEMPSTEAD,BONBINO'S PIZZA RESTAURANT,2026-06-30T00:00:00.000,BONBINO'S PIZZA RESTAURANT,DOUBLE J DOUBLE G INC,,,572989,Inspection,"Score “A”|FMTC N.M no.46768 exp 1/26, D.M no.46606 exp 1/26|Permit exp 6/25|22 seats",NY,"(40.654326, -73.633088)"
TEMPLE ISRAEL,"305 RIVERSIDE  BOULEVARD,  LONG BEACH",2025-11-12,"Item 14A-   Insects, rodents present; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",0.0,0.0,3.0,"Institutional Food Service - Religious, Charitable, Fraternal Organization",Nassau  County,NASSAU,305 RIVERSIDE  BOULEVARD,LONG BEACH,11561,290200,LONG BEACH,TEMPLE ISRAEL,2023-09-30T00:00:00.000,TEMPLE ISRAEL,CONGREGATION TEMPLE ISRAEL,,,572181,Inspection,Score: A|Permit: No posted on site. Expired.|Seats: Sept 30/2023|FMTC: No posted.,NY,"(40.588179, -73.661282)"
SUSHI YA,"949 FRANKLIN  AVENUE,  GARDEN CITY",2025-08-27,"Item  8B-   In use food dispensing utensils improperly stored; Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 11D-   Non food contact surfaces of equipment not clean; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded;",0.0,0.0,7.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,949 FRANKLIN  AVENUE,GARDEN CITY,115302909,290500,HEMPSTEAD,SUSHI YA,2026-02-28T00:00:00.000,,EASTERN CORP,,,572483,Re-Inspection,,NY,"(40.728945, -73.635321)"
NASSAU HAVEN,"377 OAK STREET,  FIFTH FLOOR,  GARDEN CITY",2026-02-17,No violations found.,0.0,0.0,0.0,Institutional Food Service - Institution Food Service,Nassau  County,NASSAU,"377 OAK STREET,  FIFTH FLOOR",GARDEN CITY,11793,290500,HEMPSTEAD,NASSAU HAVEN,2026-12-31T00:00:00.000,,FAMILY AND CHILDRENS ASSOC.,,,817410,Re-Inspection,product thermometer noted at time of reinspection,NY,"(40.677706, -73.509654)"
CHINA GARDEN,"1700 MERRICK  ROAD,  MERRICK",2025-04-07,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 14A-   Insects, rodents present;",0.0,0.0,8.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,1700 MERRICK  ROAD,MERRICK,11566,295029,HEMPSTEAD,CHINA GARDEN,2026-04-30T00:00:00.000,CHINA GARDEN,CHINA GARDEN OF MERRICK INC,,,568147,Inspection,Score “B”|FMTC C.W.C no.46504 exp 6/27|Permit exp 4/25|10 seats,NY,"(40.657114, -73.547925)"
DUNKIN DONUTS,"247 GREENWICH  STREET,  HEMPSTEAD",2025-11-25,"Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;",0.0,0.0,3.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,247 GREENWICH  STREET,HEMPSTEAD,11550,290600,HEMPSTEAD,DUNKIN DONUTS,2026-08-31T00:00:00.000,,HEMPSTEAD DONUT SYSTEM LLC,,,573452,Inspection,"Seatings: 6: Food Permit# F0117485-Expires August 31, 2026, Food Manager’s Certificate#s: K.S # 48731-Expires March 31, 2026, K.F #141016200     Expires April 30, 2026, A.D # 1195123506-Expires April 30, 2026, R.H # 375495455-Expires May 31, 2026, O.V# 927575036-Expires April 30, 2028, S. G # 894309944-Expires May 31, 2028|Inspection ratings: 0/3”A”",NY,"(40.700391, -73.616134)"
"BORDERLINE TAVERN, THE","244-18 JERICHO  TURNPIKE,  BELLEROSE",2026-01-08,"Item 11D-   Non food contact surfaces of equipment not clean; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded;",0.0,0.0,2.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,244-18 JERICHO  TURNPIKE,BELLEROSE,11001,294200,HEMPSTEAD,THE BORDERLINE TAVERN,2026-10-31T00:00:00.000,FRANKIE & VINNIE'S,BORDERLINE TAVERN INC,,,578764,Re-Inspection,"Seatings 19: Food Permit# F0118890-Expires October 31, 2026 Hand was sin k with hot and cold running water noted installed at the bar. Reviewed extermination report last dated  11/24/2025",NY,"(40.725838, -73.718589)"
